year,month,member,rank
2017,2017-07,Ayumu,4
2017,2017-07,Kasumi,3
2017,2017-07,Shizuku,6
2017,2017-07,Karin,5
2017,2017-07,Ai,9
2017,2017-07,Kanata,8
2017,2017-07,Setsuna,2
2017,2017-07,Emma,7
2017,2017-07,Rina,1
2017,2017-08,Ayumu,6
2017,2017-08,Kasumi,7
2017,2017-08,Shizuku,3
2017,2017-08,Karin,8
2017,2017-08,Ai,9
2017,2017-08,Kanata,4
2017,2017-08,Setsuna,1
2017,2017-08,Emma,5
2017,2017-08,Rina,2
2017,2017-09,Ayumu,6
2017,2017-09,Kasumi,4
2017,2017-09,Shizuku,3
2017,2017-09,Karin,5
2017,2017-09,Ai,7
2017,2017-09,Kanata,9
2017,2017-09,Setsuna,1
2017,2017-09,Emma,8
2017,2017-09,Rina,2
2017,2017-10,Ayumu,9
2017,2017-10,Kasumi,4
2017,2017-10,Shizuku,5
2017,2017-10,Karin,1
2017,2017-10,Ai,7
2017,2017-10,Kanata,6
2017,2017-10,Setsuna,2
2017,2017-10,Emma,8
2017,2017-10,Rina,3
2017,2017-11,Ayumu,8
2017,2017-11,Kasumi,4
2017,2017-11,Shizuku,6
2017,2017-11,Karin,2
2017,2017-11,Ai,5
2017,2017-11,Kanata,3
2017,2017-11,Setsuna,1
2017,2017-11,Emma,9
2017,2017-11,Rina,7
2017,2017-12,Ayumu,8
2017,2017-12,Kasumi,4
2017,2017-12,Shizuku,6
2017,2017-12,Karin,1
2017,2017-12,Ai,5
2017,2017-12,Kanata,3
2017,2017-12,Setsuna,2
2017,2017-12,Emma,7
2017,2017-12,Rina,9
2018,2018-01,Ayumu,8
2018,2018-01,Kasumi,6
2018,2018-01,Shizuku,3
2018,2018-01,Karin,2
2018,2018-01,Ai,7
2018,2018-01,Kanata,5
2018,2018-01,Setsuna,4
2018,2018-01,Emma,9
2018,2018-01,Rina,1
2018,2018-02,Ayumu,6
2018,2018-02,Kasumi,4
2018,2018-02,Shizuku,8
2018,2018-02,Karin,1
2018,2018-02,Ai,3
2018,2018-02,Kanata,5
2018,2018-02,Setsuna,2
2018,2018-02,Emma,7
2018,2018-02,Rina,9
2018,2018-03,Ayumu,6
2018,2018-03,Kasumi,3
2018,2018-03,Shizuku,7
2018,2018-03,Karin,1
2018,2018-03,Ai,4
2018,2018-03,Kanata,5
2018,2018-03,Setsuna,2
2018,2018-03,Emma,8
2018,2018-03,Rina,9
2018,2018-04,Ayumu,7
2018,2018-04,Kasumi,3
2018,2018-04,Shizuku,8
2018,2018-04,Karin,1
2018,2018-04,Ai,5
2018,2018-04,Kanata,6
2018,2018-04,Setsuna,2
2018,2018-04,Emma,4
2018,2018-04,Rina,9
2018,2018-05,Ayumu,6
2018,2018-05,Kasumi,2
2018,2018-05,Shizuku,8
2018,2018-05,Karin,3
2018,2018-05,Ai,5
2018,2018-05,Kanata,4
2018,2018-05,Setsuna,1
2018,2018-05,Emma,7
2018,2018-05,Rina,9
2018,2018-06,Ayumu,5
2018,2018-06,Kasumi,4
2018,2018-06,Shizuku,6
2018,2018-06,Karin,2
2018,2018-06,Ai,7
2018,2018-06,Kanata,3
2018,2018-06,Setsuna,1
2018,2018-06,Emma,8
2018,2018-06,Rina,9
2018,2018-07,Ayumu,6
2018,2018-07,Kasumi,7
2018,2018-07,Shizuku,9
2018,2018-07,Karin,2
2018,2018-07,Ai,4
2018,2018-07,Kanata,1
2018,2018-07,Setsuna,3
2018,2018-07,Emma,8
2018,2018-07,Rina,5
2018,2018-08,Ayumu,6
2018,2018-08,Kasumi,4
2018,2018-08,Shizuku,5
2018,2018-08,Karin,2
2018,2018-08,Ai,8
2018,2018-08,Kanata,1
2018,2018-08,Setsuna,3
2018,2018-08,Emma,9
2018,2018-08,Rina,7
2018,2018-09,Ayumu,5
2018,2018-09,Kasumi,4
2018,2018-09,Shizuku,6
2018,2018-09,Karin,3
2018,2018-09,Ai,7
2018,2018-09,Kanata,2
2018,2018-09,Setsuna,1
2018,2018-09,Emma,8
2018,2018-09,Rina,9
2018,2018-10,Ayumu,5
2018,2018-10,Kasumi,1
2018,2018-10,Shizuku,6
2018,2018-10,Karin,7
2018,2018-10,Ai,9
2018,2018-10,Kanata,4
2018,2018-10,Setsuna,3
2018,2018-10,Emma,8
2018,2018-10,Rina,2
2018,2018-11,Ayumu,4
2018,2018-11,Kasumi,3
2018,2018-11,Shizuku,6
2018,2018-11,Karin,2
2018,2018-11,Ai,9
2018,2018-11,Kanata,5
2018,2018-11,Setsuna,7
2018,2018-11,Emma,8
2018,2018-11,Rina,1
2018,2018-12,Ayumu,5
2018,2018-12,Kasumi,6
2018,2018-12,Shizuku,7
2018,2018-12,Karin,3
2018,2018-12,Ai,2
2018,2018-12,Kanata,8
2018,2018-12,Setsuna,1
2018,2018-12,Emma,4
2018,2018-12,Rina,9
2019,2019-01,Ayumu,5
2019,2019-01,Kasumi,6
2019,2019-01,Shizuku,7
2019,2019-01,Karin,3
2019,2019-01,Ai,4
2019,2019-01,Kanata,8
2019,2019-01,Setsuna,2
2019,2019-01,Emma,1
2019,2019-01,Rina,9
2019,2019-02,Ayumu,1
2019,2019-02,Kasumi,7
2019,2019-02,Shizuku,6
2019,2019-02,Karin,3
2019,2019-02,Ai,4
2019,2019-02,Kanata,9
2019,2019-02,Setsuna,2
2019,2019-02,Emma,5
2019,2019-02,Rina,8
2019,2019-03,Ayumu,5
2019,2019-03,Kasumi,6
2019,2019-03,Shizuku,1
2019,2019-03,Karin,3
2019,2019-03,Ai,4
2019,2019-03,Kanata,8
2019,2019-03,Setsuna,2
2019,2019-03,Emma,7
2019,2019-03,Rina,9
2019,2019-04,Ayumu,4
2019,2019-04,Kasumi,5
2019,2019-04,Shizuku,7
2019,2019-04,Karin,3
2019,2019-04,Ai,1
2019,2019-04,Kanata,9
2019,2019-04,Setsuna,2
2019,2019-04,Emma,6
2019,2019-04,Rina,8
2019,2019-05,Ayumu,7
2019,2019-05,Kasumi,6
2019,2019-05,Shizuku,8
2019,2019-05,Karin,2
2019,2019-05,Ai,4
2019,2019-05,Kanata,5
2019,2019-05,Setsuna,1
2019,2019-05,Emma,9
2019,2019-05,Rina,3
